iter	Passed	Remaining
0	140	140358
1	141	70614
2	142	47356
3	143	35717
4	144	28744
5	145	24091
6	146	20770
7	147	18278
8	148	16340
9	149	14788
10	150	13525
11	151	12468
12	152	11575
13	153	10815
14	154	10152
15	155	9569
16	156	9055
17	157	8597
18	158	8188
19	159	7820
20	160	7487
21	161	7183
22	162	6906
23	163	6651
24	164	6418
25	165	6202
26	166	6007
27	167	5821
28	168	5647
29	169	5486
30	170	5334
31	171	5192
32	172	5058
33	173	4932
34	174	4813
35	175	4704
36	176	4599
37	177	4499
38	178	4404
39	179	4316
40	180	4232
41	182	4152
42	182	4071
43	183	3993
44	184	3918
45	185	3847
46	186	3778
47	187	3713
48	188	3650
49	188	3589
50	189	3528
51	190	3470
52	191	3414
53	191	3360
54	192	3311
55	193	3261
56	194	3213
57	195	3167
58	195	3121
59	196	3075
60	196	3032
61	197	2990
62	198	2949
63	198	2909
64	199	2871
65	200	2834
66	200	2798
67	201	2759
68	201	2724
69	202	2691
70	203	2658
71	203	2626
72	204	2596
73	205	2565
74	205	2536
75	206	2509
76	207	2482
77	207	2455
78	208	2429
79	208	2403
80	209	2378
81	210	2354
82	210	2330
83	211	2307
84	211	2282
85	212	2260
86	213	2236
87	213	2214
88	214	2193
89	214	2173
90	215	2153
91	216	2134
92	216	2115
93	217	2097
94	218	2078
95	218	2061
96	219	2044
97	220	2027
98	220	2010
99	221	1994
100	222	1977
101	222	1959
102	223	1943
103	223	1928
104	224	1913
105	225	1898
106	225	1883
107	226	1869
108	226	1855
109	227	1841
110	228	1828
111	228	1814
112	229	1801
113	230	1788
114	230	1775
115	231	1762
116	231	1750
117	232	1738
118	233	1725
119	233	1714
120	234	1703
121	235	1691
122	235	1678
123	236	1667
124	236	1656
125	237	1645
126	237	1635
127	238	1623
128	238	1613
129	239	1603
130	240	1593
131	240	1584
132	241	1574
133	242	1565
134	242	1556
135	243	1546
136	244	1537
137	244	1528
138	245	1519
139	245	1510
140	246	1502
141	247	1494
142	247	1485
143	248	1477
144	249	1469
145	249	1461
146	250	1453
147	251	1445
148	251	1437
149	252	1430
150	253	1422
151	253	1415
152	254	1407
153	254	1400
154	255	1393
155	256	1386
156	256	1379
157	257	1372
158	258	1365
159	258	1359
160	259	1352
161	260	1346
162	260	1339
163	261	1333
164	262	1327
165	262	1320
166	263	1314
167	264	1308
168	264	1302
169	265	1296
170	266	1290
171	266	1284
172	267	1278
173	268	1272
174	268	1266
175	269	1261
176	269	1255
177	270	1249
178	271	1244
179	271	1238
180	272	1231
181	272	1226
182	273	1220
183	274	1215
184	274	1210
185	275	1205
186	276	1200
187	276	1195
188	277	1189
189	277	1184
190	278	1180
191	279	1175
192	279	1170
193	280	1165
194	281	1160
195	281	1156
196	282	1151
197	283	1147
198	283	1142
199	284	1137
200	285	1133
201	285	1128
202	286	1124
203	287	1120
204	287	1115
205	288	1111
206	289	1107
207	289	1103
208	290	1098
209	290	1094
210	291	1090
211	292	1086
212	292	1082
213	293	1078
214	294	1074
215	294	1070
216	295	1066
217	296	1062
218	296	1058
219	297	1054
220	298	1050
221	298	1046
222	299	1042
223	299	1038
224	300	1035
225	301	1031
226	301	1028
227	302	1024
228	303	1020
